window_days,start_day,end_day,n,score_mean,score_std,score_psi,score_psi_alert
7,152,159,21273,0.026013490590340856,0.12273331921446679,0.005150178878245158,False
7,159,166,20716,0.03277217683384039,0.13842483732048222,0.0035585067352236965,False
7,166,173,20454,0.028143106479718044,0.12742382148471113,0.0036239771936398078,False
7,173,180,18027,0.03638129954188226,0.15151580124933292,0.002159242390834838,False
14,152,166,41989,0.029348005444715487,0.1307527479118131,0.0014281316801435318,False
14,166,180,38481,0.03200241123613379,0.13928889845719372,0.0018701845657135856,False
30,152,182,85827,0.03107104164669125,0.13619489243692606,0.0008797228230109214,False
