threshold,reviewed_n,reviewed_percent,precision,recall,dollar_precision,dollar_recall,expected_cost
2.6988396e-08,88581,100.0,0.03480430340592226,1.0,0.03865473545101181,1.0,854980.0
4.668563260651629e-07,88358,99.74825301136812,0.034892143326014625,1.0,0.038705839557773854,1.0,852750.0
7.146417145363409e-07,88136,99.49763493299918,0.034980030861396026,1.0,0.03876198711561899,1.0,850530.0
9.520490917293233e-07,87914,99.24701685463023,0.035068362263120774,1.0,0.03882142655682853,1.0,848310.0
1.1850962218045113e-06,87692,98.99639877626127,0.03515714090224878,1.0,0.038874243093266245,1.0,846090.0
1.3833292849624061e-06,87470,98.74578069789233,0.03523493769292329,0.9996756406097956,0.038902877656636525,0.9994676393383951,844130.0
1.5819430180451128e-06,87248,98.49516261952337,0.03530166880616174,0.999026921829387,0.038947144621520394,0.9990843396620397,842110.0
1.7826338157894737e-06,87026,98.24454454115443,0.03536874037643922,0.9983782030489783,0.03899381387297722,0.9989076957400109,839992.953125
1.9875522330827065e-06,86804,97.99392646278547,0.035459195428782085,0.9983782030489783,0.03904637040345846,0.9989076957400109,837772.953125
2.1874602909774434e-06,86582,97.74330838441652,0.03555011434247303,0.9983782030489783,0.03910667929251757,0.9989076957400109,835552.953125
2.4093510458646618e-06,86360,97.49269030604758,0.0356415006947661,0.9983782030489783,0.0391704972096616,0.9989076957400109,833332.953125
2.611987572681704e-06,86138,97.24207222767862,0.035733358099793354,0.9983782030489783,0.03922617990112118,0.9989076957400109,831112.953125
2.7988825263157895e-06,85916,96.99145414930967,0.0358140509334699,0.9980538436587739,0.03927773766205917,0.9987843211566839,828960.890625
2.997028560150376e-06,85694,96.74083607094072,0.03590683128340374,0.9980538436587739,0.03934685185072235,0.9987843211566839,826740.890625
3.1933646385964912e-06,85472,96.49021799257177,0.036000093597903404,0.9980538436587739,0.03940358930912943,0.9987843211566839,824520.890625
3.408927812030075e-06,85250,96.23959991420281,0.036070381231671556,0.9974051248783652,0.03945285590632928,0.9985991927366109,822407.828125
3.602839266666666e-06,85028,95.98898183583387,0.03616455755751047,0.9974051248783652,0.0395134635478044,0.9985991927366109,820187.828125
3.792635221804511e-06,84806,95.73836375746492,0.03624743532297243,0.9970807654881609,0.0395700148031934,0.9985267916866326,818011.828125
3.984067020300752e-06,84584,95.48774567909597,0.03630710299820297,0.9961076873175478,0.03961851186640658,0.9983457890616869,815906.828125
4.172465571428572e-06,84362,95.23712760072702,0.03639079206277708,0.9957833279273435,0.039678382085262205,0.9980966442720559,813813.828125
4.340349984962406e-06,84140,94.98650952235806,0.036486807701449964,0.9957833279273435,0.03973804979645591,0.9980966442720559,811593.828125
4.534051684210526e-06,83918,94.73589144398912,0.03655949855811626,0.9951346091469349,0.0397816498629567,0.9977624548667334,809550.765625
4.725432594235589e-06,83696,94.48527336562017,0.03665647103804244,0.9951346091469349,0.039851116743693,0.9977624548667334,807330.765625
4.9360878398496245e-06,83474,94.23465528725121,0.036741979538538944,0.9948102497567305,0.039910868833685526,0.9976390802834065,805178.703125
5.146821409022556e-06,83252,93.98403720888227,0.03682794407341566,0.9944858903665261,0.039961836732668676,0.9974092335677587,803076.640625
5.349229794486215e-06,83030,93.73341913051331,0.036926412140190296,0.9944858903665261,0.04003005021861479,0.9974092335677587,800856.640625
5.61578431528822e-06,82808,93.48280105214437,0.03702540817312337,0.9944858903665261,0.04009518825881502,0.9974092335677587,798636.640625
5.81234547368421e-06,82586,93.23218297377541,0.037124936429903374,0.9944858903665261,0.04016138229226404,0.9974092335677587,796416.640625
6.008345803508772e-06,82364,92.98156489540646,0.03722500121412267,0.9944858903665261,0.04022077821649911,0.9974092335677587,794196.640625
6.224853893483709e-06,82142,92.73094681703752,0.03732560687589784,0.9944858903665261,0.04028599774036914,0.9974092335677587,791976.640625
6.442650991729323e-06,81920,92.48032873866856,0.0374267578125,0.9944858903665261,0.040350319521831365,0.9974092335677587,789756.640625
6.6589520303258146e-06,81698,92.22971066029962,0.037516218267277045,0.9941615309763218,0.040412114366318315,0.9972645645579675,787614.578125
6.8818128616541355e-06,81476,91.97909258193066,0.03761843978594924,0.9941615309763218,0.040481069253714135,0.9972645645579675,785394.578125
7.10693582330827e-06,81254,91.72847450356171,0.03772121987840599,0.9941615309763218,0.040546157281541935,0.9972645645579675,783174.578125
7.32858590877193e-06,81032,91.47785642519275,0.03782456313555139,0.9941615309763218,0.040609854896282084,0.9972645645579675,780954.578125
7.548107666666666e-06,80810,91.22723834682381,0.03792847419873778,0.9941615309763218,0.040673860125029604,0.9972645645579675,778734.578125
7.783463436090225e-06,80588,90.97662026845487,0.03800814016975232,0.993512812195913,0.04073895039342745,0.997057076990107,776632.015625
8.05035176190476e-06,80366,90.72600219008591,0.038100689346240946,0.9931884528057088,0.04081475373452426,0.9969527343004325,774471.015625
8.285178428571429e-06,80144,90.47538411171696,0.03820622878818127,0.9931884528057088,0.04087339717563688,0.9969527343004325,772251.015625
8.536666721804511e-06,79922,90.224766033348,0.03831235454568204,0.9931884528057088,0.040947526773807,0.9969527343004325,770031.015625
8.784889496240603e-06,79700,89.97414795497906,0.038419071518193224,0.9931884528057088,0.04101903603263824,0.9969527343004325,767811.015625
9.000123837092731e-06,79478,89.72352987661012,0.038513802561715195,0.9928640934155044,0.041103544580723336,0.9968994982342719,765626.015625
9.252686578947365e-06,79256,89.47291179824116,0.03862168163924498,0.9928640934155044,0.04116814417783969,0.9968994982342719,763406.015625
