topk_percent,k,precision_at_k,recall_at_k
0.1,89,1.0,0.02925706771860618
0.5,443,0.9729119638826185,0.14168310322156477
1.0,886,0.9582392776523702,0.27909270216962523
3.0,2658,0.7069224981188864,0.6176857330703485
5.0,4430,0.4918735891647856,0.7163050624589086
10.0,8859,0.2763291567897054,0.8047337278106509
